path,filename,canvas_w,canvas_h,canvas_area,canvas_tiles_w,canvas_tiles_h,canvas_multiple_of_tile,visible_left,visible_top,visible_right_exclusive,visible_bottom_exclusive,visible_w,visible_h,visible_bbox_area,visible_tiles_w_ceil,visible_tiles_h_ceil,transparent_pixel_count,transparent_pixel_pct,bbox_empty_pct,margin_left,margin_top,margin_right,margin_bottom,max_margin_px,max_margin_tiles,parsed_dim_hint,parsed_frame_hint,suggested_trim_canvas_w,suggested_trim_canvas_h,suggested_trim_tiles_w,suggested_trim_tiles_h,issues,suspicious
sprites/operator/runtime/animation_base/body/core_locomotion/run_west.png,run_west.png,1536,96,147456,48.0,3.0,True,35,20,1497,72,1462,52,76024,46,2,135752,0.9206,0.4844,35,20,39,24,39,1.219,,,1472,64,46,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/body/ranged_2h/operator_body_ranged_2h_walk.png,operator_body_ranged_2h_walk.png,192,96,18432,6.0,3.0,True,31,13,167,83,136,70,9520,5,3,15635,0.8483,0.4835,31,13,25,13,31,0.969,,,160,96,5,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/curated/body/ranged_2h/equipped_walk_right_body_placeholder.png,equipped_walk_right_body_placeholder.png,192,96,18432,6.0,3.0,True,31,13,167,83,136,70,9520,5,3,15635,0.8483,0.4835,31,13,25,13,31,0.969,,,160,96,5,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/live_review/body/operator_body_ranged_2h_walk.png,operator_body_ranged_2h_walk.png,192,96,18432,6.0,3.0,True,31,13,167,83,136,70,9520,5,3,15635,0.8483,0.4835,31,13,25,13,31,0.969,,,160,96,5,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/environment/props/terminal/runtime/body/builder_terminal__body__interaction__pick_up__omni__4f__48.png,builder_terminal__body__interaction__pick_up__omni__4f__48.png,192,48,9216,6.0,1.5,False,7,13,184,40,177,27,4779,6,1,8361,0.9072,0.4814,7,13,8,8,13,0.406,,4f__48,192,32,6,1,CANVAS_NOT_MULTIPLE_OF_TILE;LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/environment/props/terminal/runtime/body/command_terminal__body__interaction__pickup__omni__4f__48.png,command_terminal__body__interaction__pickup__omni__4f__48.png,192,48,9216,6.0,1.5,False,7,13,184,40,177,27,4779,6,1,8361,0.9072,0.4814,7,13,8,8,13,0.406,,4f__48,192,32,6,1,CANVAS_NOT_MULTIPLE_OF_TILE;LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/environment/props/terminal/runtime/body/computer_terminal__body__interaction__pick-up__omni__4f__48.png,computer_terminal__body__interaction__pick-up__omni__4f__48.png,192,48,9216,6.0,1.5,False,7,13,184,40,177,27,4779,6,1,8361,0.9072,0.4814,7,13,8,8,13,0.406,,4f__48,192,32,6,1,CANVAS_NOT_MULTIPLE_OF_TILE;LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/effects/runtime/muzzle_flash_yellow.png,muzzle_flash_yellow.png,256,64,16384,8.0,2.0,True,33,14,252,53,219,39,8541,7,2,15862,0.9681,0.4787,33,14,4,11,33,1.031,,,224,64,7,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/body/melee_fast/operator_body_melee_fast_baked5.png,operator_body_melee_fast_baked5.png,96,96,9216,3.0,3.0,True,13,2,78,76,65,74,4810,3,3,7822,0.8487,0.4781,13,2,18,20,20,0.625,,,96,96,3,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/body/melee_fast/operator_body_melee_fast_baked2.png,operator_body_melee_fast_baked2.png,96,96,9216,3.0,3.0,True,2,22,81,84,79,62,4898,3,2,7732,0.839,0.4685,2,22,15,12,22,0.688,,,96,64,3,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/curated/body/default/walk_right_body.png,walk_right_body.png,384,96,36864,12.0,3.0,True,33,21,351,83,318,62,19716,10,2,32124,0.8714,0.4652,33,21,33,13,33,1.031,,,320,64,10,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/curated/body/default_locomotion/walk_right_body.png,walk_right_body.png,384,96,36864,12.0,3.0,True,33,21,351,83,318,62,19716,10,2,32124,0.8714,0.4652,33,21,33,13,33,1.031,,,320,64,10,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/animation_base/body/core_locomotion/run_northwest.png,run_northwest.png,1536,96,147456,48.0,3.0,True,37,20,1499,74,1462,54,78948,46,2,135448,0.9186,0.4646,37,20,37,22,37,1.156,,,1472,64,46,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/curated/body/core/front_idle_loop.png,front_idle_loop.png,480,96,46080,15.0,3.0,True,35,22,454,81,419,59,24721,14,2,40872,0.887,0.4635,35,22,26,15,35,1.094,,,448,64,14,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/idle/operator_idle.png,operator_idle.png,480,96,46080,15.0,3.0,True,35,22,454,81,419,59,24721,14,2,40872,0.887,0.4635,35,22,26,15,35,1.094,,,448,64,14,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/idle/operator_idle_down.png,operator_idle_down.png,480,96,46080,15.0,3.0,True,35,22,454,81,419,59,24721,14,2,40872,0.887,0.4635,35,22,26,15,35,1.094,,,448,64,14,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/idle/operator_idle_main.png,operator_idle_main.png,480,96,46080,15.0,3.0,True,35,22,454,81,419,59,24721,14,2,40872,0.887,0.4635,35,22,26,15,35,1.094,,,448,64,14,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/live_review/body/operator_idle_main.png,operator_idle_main.png,480,96,46080,15.0,3.0,True,35,22,454,81,419,59,24721,14,2,40872,0.887,0.4635,35,22,26,15,35,1.094,,,448,64,14,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
runtime/sundered_keep/props/prop_tall/prop_gothic_statue_intact_01.png,prop_gothic_statue_intact_01.png,64,96,6144,2.0,3.0,True,14,2,50,94,36,92,3312,2,3,3734,0.6077,0.4609,14,2,14,2,14,0.438,,,64,96,2,3,LARGE_BBOX_EMPTY_AREA,True
runtime/sundered_keep/props/prop_hanging/prop_portcullis_chain_01.png,prop_portcullis_chain_01.png,32,96,3072,1.0,3.0,True,7,2,25,94,18,92,1656,1,3,1898,0.6178,0.4609,7,2,7,2,7,0.219,,,32,96,1,3,LARGE_BBOX_EMPTY_AREA,True
sprites/operator/runtime/body/unarmed/operator__body__unarmed__fast_01__w__5f__96.png,operator__body__unarmed__fast_01__w__5f__96.png,480,96,46080,15.0,3.0,True,24,26,456,84,432,58,25056,14,2,37826,0.8209,0.4563,24,26,24,12,26,0.812,,5f__96,448,64,14,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/curated/body/unarmed/fast_attack_west_body.png,fast_attack_west_body.png,480,96,46080,15.0,3.0,True,24,26,456,84,432,58,25056,14,2,37826,0.8209,0.4563,24,26,24,12,26,0.812,,,448,64,14,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/enemies/enemy_brawler/runtime/body/enemy_brawler__body__core_locomotion__idle_01__e__6f__128.png,enemy_brawler__body__core_locomotion__idle_01__e__6f__128.png,768,128,98304,24.0,4.0,True,37,24,734,101,697,77,53669,22,3,86992,0.8849,0.4541,37,24,34,27,37,1.156,,6f__128,704,96,22,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__98.png,operator__body__melee__light_01__s__6f__98.png,96,96,9216,3.0,3.0,True,3,14,66,94,63,80,5040,2,3,7590,0.8236,0.4531,3,14,30,2,30,0.938,,6f__98,64,96,2,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
